"Gene","Sample","Contribution","Scaled.Expression","Supports"
"CYP4B1","UPPL1541_MP1_rep_3",-0.113603442872076,0.374866591297802,"Luminal"
"CYP4B1","BBN963_PARENTAL_rep_1",0.013982537867696,-0.184676540873491,"Basal"
"CYP4B1","BBN963_PARENTAL_rep_2",0.00685089438393371,-0.153399890341075,"Basal"
"CYP4B1","BBN963_PARENTAL_rep_3",0.0371234695748106,-0.286163783701296,"Basal"
"GDPD3","BBN963_MP1_rep_1",0.00345602202946912,0.377946935391698,"Basal"
"GDPD3","BBN963_MP1_rep_2",-0.0393147911958206,0.574717652814513,"Luminal"
"GDPD3","BBN963_MP1_rep_3",-0.0107765396520734,0.443425030420896,"Luminal"
"GDPD3","UPPL1541_PARENTAL_rep_1",0.523374086562871,-2.01397977454582,"Basal"
"GDPD3","UPPL1541_PARENTAL_rep_2",0.267594817826284,-0.837245772644214,"Basal"
"GDPD3","UPPL1541_PARENTAL_rep_3",0.195580766673846,-0.505939083777938,"Basal"
"GDPD3","UPPL1541_MP1_rep_1",0.0437884087062815,0.192394404043563,"Basal"
"GDPD3","UPPL1541_MP1_rep_2",0.460578489748458,-1.72508335887375,"Basal"
"GDPD3","UPPL1541_MP1_rep_3",0.278430177988762,-0.887094756844606,"Basal"
"GDPD3","BBN963_PARENTAL_rep_1",0.0467283199188556,0.178869095665383,"Basal"
"GDPD3","BBN963_PARENTAL_rep_2",-0.0382143146585985,0.56965481810535,"Luminal"
"GDPD3","BBN963_PARENTAL_rep_3",0.0421292297662437,0.200027596067394,"Basal"
"SCNN1B","BBN963_MP1_rep_1",0.0742623571839239,0.0250611640597118,"Basal"
"SCNN1B","BBN963_MP1_rep_2",0.0598564059266964,0.0601772725622125,"Basal"
"SCNN1B","BBN963_MP1_rep_3",-0.352532212876907,1.0654203991373,"Luminal"
"SCNN1B","UPPL1541_PARENTAL_rep_1",0.0800495504714312,0.0109542367363882,"Basal"
"SCNN1B","UPPL1541_PARENTAL_rep_2",0.0745720778381007,0.0243061855162377,"Basal"
"SCNN1B","UPPL1541_PARENTAL_rep_3",0.093481171243283,-0.0217868328373514,"Basal"
"SCNN1B","UPPL1541_MP1_rep_1",-0.0954666605486623,0.438794523023431,"Luminal"
"SCNN1B","UPPL1541_MP1_rep_2",-0.149309212736431,0.570041732660397,"Luminal"
"SCNN1B","UPPL1541_MP1_rep_3",-0.069241013468514,0.374866591297802,"Luminal"
"SCNN1B","BBN963_PARENTAL_rep_1",0.160304668901218,-0.184676540873491,"Basal"
"SCNN1B","BBN963_PARENTAL_rep_2",-0.392148525938463,1.16198956857974,"Luminal"
"SCNN1B","BBN963_PARENTAL_rep_3",-0.518996104898732,1.47119465101492,"Luminal"
"CHST15","BBN963_MP1_rep_1",-1.71125750812357,-2.64683870347615,"Luminal"
"CHST15","BBN963_MP1_rep_2",-0.911587893905038,-1.48463726360233,"Luminal"
"CHST15","BBN963_MP1_rep_3",-0.512112604708852,-0.904059049746453,"Luminal"
"CHST15","UPPL1541_PARENTAL_rep_1",1.06838519145667,1.39296059656837,"Basal"
"CHST15","UPPL1541_PARENTAL_rep_2",1.16507255256415,1.53348136701996,"Basal"
"CHST15","UPPL1541_PARENTAL_rep_3",1.13265150905304,1.48636217831895,"Basal"
"CHST15","UPPL1541_MP1_rep_1",1.02650578297995,1.3320950741485,"Basal"
"CHST15","UPPL1541_MP1_rep_2",1.18704638188104,1.56541707598971,"Basal"
"CHST15","UPPL1541_MP1_rep_3",1.01286877319814,1.31227569859365,"Basal"
"CHST15","BBN963_PARENTAL_rep_1",-1.47623711774216,-2.30527134710248,"Luminal"
"CHST15","BBN963_PARENTAL_rep_2",-1.992208350042,-3.05515917383747,"Luminal"
"CHST15","BBN963_PARENTAL_rep_3",-1.40390174927198,-2.20014259405863,"Luminal"
"VGLL1","BBN963_MP1_rep_1",-0.0285476259441185,0.0250611640597118,"Luminal"
"VGLL1","BBN963_MP1_rep_2",-0.0390763288172728,0.0601772725622125,"Luminal"
"VGLL1","BBN963_MP1_rep_3",0.000409737669609339,-0.071519576688402,"Basal"
"VGLL1","UPPL1541_PARENTAL_rep_1",-0.0243180101759055,0.0109542367363882,"Luminal"
"VGLL1","UPPL1541_PARENTAL_rep_2",-0.0283212641660394,0.0243061855162377,"Luminal"
"VGLL1","UPPL1541_PARENTAL_rep_3",-0.0145014044074552,-0.0217868328373514,"Luminal"
"VGLL1","UPPL1541_MP1_rep_1",-0.152595414580233,0.438794523023431,"Luminal"
"VGLL1","UPPL1541_MP1_rep_2",-0.191946667669675,0.570041732660397,"Luminal"
"VGLL1","UPPL1541_MP1_rep_3",-0.133428193975863,0.374866591297802,"Luminal"
"VGLL1","BBN963_PARENTAL_rep_1",0.0343370748586978,-0.184676540873491,"Basal"
"VGLL1","BBN963_PARENTAL_rep_2",-0.369427691239173,1.16198956857974,"Luminal"
"VGLL1","BBN963_PARENTAL_rep_3",0.0647655326439198,-0.286163783701296,"Basal"
"MSN","BBN963_MP1_rep_1",0.025616314864162,-0.0514875279261958,"Basal"
"MSN","BBN963_MP1_rep_2",0.0678235022627683,0.00681241506901489,"Basal"
"MSN","BBN963_MP1_rep_3",0.0252168004332266,-0.0520393692116463,"Basal"
"MSN","UPPL1541_PARENTAL_rep_1",0.0954311630619849,0.044946324244839,"Basal"
"MSN","UPPL1541_PARENTAL_rep_2",0.0618787010982272,-0.0013990197687884,"Basal"
"MSN","UPPL1541_PARENTAL_rep_3",0.13090471189269,0.0939452270889607,"Basal"
"MSN","UPPL1541_MP1_rep_1",0.214113298787338,0.208879582388603,"Basal"
"MSN","UPPL1541_MP1_rep_2",0.219723708770158,0.216629129381373,"Basal"
"MSN","UPPL1541_MP1_rep_3",0.229948198131795,0.230752011849449,"Basal"
"MSN","BBN963_PARENTAL_rep_1",0.167291667177297,0.144205799982095,"Basal"
"MSN","BBN963_PARENTAL_rep_2",-0.0172978341869664,-0.110763982899156,"Luminal"
"MSN","BBN963_PARENTAL_rep_3",-0.112474290636625,-0.242229316826724,"Luminal"
"RNF128","BBN963_MP1_rep_1",-0.116843198582382,0.199213917244164,"Luminal"
"RNF128","BBN963_MP1_rep_2",-0.128004643158901,0.237917549044818,"Luminal"
"RNF128","BBN963_MP1_rep_3",-0.0632294104297603,0.013301753108833,"Luminal"
"RNF128","UPPL1541_PARENTAL_rep_1",-0.0231587569280191,-0.125647986641303,"Luminal"
"RNF128","UPPL1541_PARENTAL_rep_2",0.0341253840791867,-0.324287534269731,"Basal"
"RNF128","UPPL1541_PARENTAL_rep_3",0.0618886221256905,-0.420559852389403,"Basal"
"RNF128","UPPL1541_MP1_rep_1",0.532744288667258,-2.0533076767538,"Basal"
"RNF128","UPPL1541_MP1_rep_2",0.487996141073146,-1.89813817191325,"Basal"
"RNF128","UPPL1541_MP1_rep_3",0.383369896980286,-1.53533427137029,"Basal"
"RNF128","BBN963_PARENTAL_rep_1",-0.0874689068831674,0.09735507965937,"Luminal"
"RNF128","BBN963_PARENTAL_rep_2",-0.113577296838685,0.187889015909163,"Luminal"
"RNF128","BBN963_PARENTAL_rep_3",-0.0957014224353485,0.125902302963697,"Luminal"
"MT2A","BBN963_MP1_rep_1",0.160748283907487,0.170583353049113,"Basal"
"MT2A","BBN963_MP1_rep_2",0.169588305029601,0.183428653598968,"Basal"
"MT2A","BBN963_MP1_rep_3",0.204447803795683,0.234082462281331,"Basal"
"MT2A","UPPL1541_PARENTAL_rep_1",-0.0729961818222627,-0.169067183152988,"Luminal"
"MT2A","UPPL1541_PARENTAL_rep_2",-0.293372678729374,-0.489292926710835,"Luminal"
"MT2A","UPPL1541_PARENTAL_rep_3",-0.254088245547291,-0.43220931297464,"Luminal"
"MT2A","UPPL1541_MP1_rep_1",-0.75047127582619,-1.1534959619205,"Luminal"
"MT2A","UPPL1541_MP1_rep_2",-0.735843747411411,-1.13224092234606,"Luminal"
"MT2A","UPPL1541_MP1_rep_3",-0.585278638234703,-0.913457046948035,"Luminal"
"MT2A","BBN963_PARENTAL_rep_1",0.679109733328055,0.923806509338737,"Basal"
"MT2A","BBN963_PARENTAL_rep_2",0.473221988261903,0.624634151221769,"Basal"
"MT2A","BBN963_PARENTAL_rep_3",0.60944828338123,0.822582513497009,"Basal"
"MT1X","BBN963_MP1_rep_1",0.254102374270339,0.320080264453907,"Basal"
"MT1X","BBN963_MP1_rep_2",0.223650415920216,0.272294682323977,"Basal"
"MT1X","BBN963_MP1_rep_3",0.273917364832202,0.351174187807243,"Basal"
"MT1X","UPPL1541_PARENTAL_rep_1",-0.140328364310064,-0.298865231145938,"Luminal"
